Time Stamp,pos X,pos Y,speed X,speed Y
426,551.4574795784521,183.95440794172407,-5,-5
427,546.4574795784521,178.95440794172407,-5,-5
428,541.4574795784521,173.95440794172407,-5,-5
429,536.4574795784521,168.95440794172407,-5,-5
430,531.4574795784521,163.95440794172407,-5,-5
431,526.4574795784521,158.95440794172407,-5,-5
432,521.4574795784521,153.95440794172407,-5,-5
433,516.4574795784521,148.95440794172407,-5,-5
434,511.4574795784521,143.95440794172407,-5,-5
435,506.4574795784521,138.95440794172407,-5,-5
436,501.4574795784521,133.95440794172407,-5,-5
437,496.4574795784521,128.95440794172407,-5,-5
438,491.4574795784521,123.95440794172407,-5,-5
439,486.4574795784521,118.95440794172407,-5,-5
440,481.4574795784521,113.95440794172407,-5,-5
441,476.4574795784521,108.95440794172407,-5,-5
442,471.4574795784521,103.95440794172407,-5,-5
443,466.4574795784521,98.95440794172407,-5,-5
444,461.5441336583205,93.95440794172407,-4.913345920131555,-5
445,456.9118677370069,88.95440794172407,-4.632265921313611,-5
446,452.8587469578083,83.95440794172407,-4.053120779198613,-5
447,449.8320873999732,78.95440794172407,-3.0266595578351287,-5
448,448.339798425044,73.95440794172407,-1.4922889749291712,-5
449,448.72113815612556,68.95440794172407,0.3813397310815376,-5
450,451.0944792368797,63.95440794172407,2.3733410807541144,-5
451,455.4577744876974,59.154613838356894,4.363295250817698,-4.799794103367176
452,460.4577744876974,54.80493669888342,5,-4.349677139473477
453,465.4577744876974,51.06645480878339,5,-3.738481890100023
454,470.4577744876974,48.073118542382424,5,-2.993336266400966
455,475.4577744876974,46.12463783825687,5,-1.9484807041255574
